,Title,Summary,Contributors,Date,Section,Url,Source
39,"When My Mom Got Sick, This TV Show Kept Us Going","Every family has its archetypes, so here’s mine: My dad and my brother and I are all miserable. None of us are quick to experience joy, and all for different reasons — my dad is irritable, my brother is anxious and I’m bitter. The three of us combined could make one moderately unwell person. Instead, we are planets that orbit a sun more optimistic than we could ever be, and we hope that some of that shine rubs off on us periodically.My mother believes in a positive ethos: that things invariably will improve, that everyone is trying their best, that it’s better to be surprised by harm than anticipating it all the time. In April 2023, I was laid off from my job, and she reassured me immediately. “Everything always works out,” she said. But for the first time, I noticed a slash of worry run across her face. It looked as if she was losing her radiance.I later learned that my mother had been hiding something important from my brother and me for a month: She’d had a biopsy to determine if she had breast cancer. Within weeks of her 69th birthday, she had a lumpectomy. The doctors told her she would need an exhausting surgery, and then exhaustive radiation. For a little under a year, she went through treatment, and steadily she changed — she became sour, nihilistic and impenetrably dark, just like the rest of us. I had never seen it before, and I didn’t know what to do with it other than try to change her mind. Who was this woman? Every few weeks I’d fly home to find my mother again.Cancer robbed my mom of most pleasures. Food was rendered tasteless at best and inedible at worst; she’d push a plate of cheese and crackers away like a child, pantomiming vomiting at every meal. Radiation gave her brain fog, so it was challenging for her to follow along in a book or a movie. She didn’t find anything on TV funny anymore. She didn’t find me very funny either. She was morose and weepy no matter what the day looked like. In her displeasure, she found only blips of joy. Rummy after lunch, a heating pad on the breast, wearing a mastectomy bra that I lied about and said was given to me free in order to avoid arguing about the cost. But nothing brought her consistent pleasure like the Hindi version of “American Idol.” New episodes aired twice a week, and we would record it and watch after dinner. Only during “Indian Idol” was she upright, eyes peeled, singing along. I was grateful for the absence of conflict. We tuned in to a world where everyone was a winner.Having just wrapped its 14th season, “Indian Idol” has been on since 2004 and has aired 179 episodes. On the South Asian TV channel my parents paid a premium for (“This,” I used to grumble as a kid, “but not Cartoon Network?”), reruns seemed to play daily, for months. “How come no one is getting kicked off?” I asked my mom after seeing the same contestants on the show for three weeks straight. “Oh, it takes a while,” she said, which was a big deal. It was always a big deal when she spoke at all. “Everyone always seems to get the same number of votes.”",By Scaachi Koul,2024-05-01 05:02:38-04:00,magazine,https://www.nytimes.com/2024/05/01/magazine/indian-idol-cancer.html,The New York Times
40,Even Celebrities Don’t Know How to Ask Their Friends About Ozempic,"On Monday, the actress Melissa McCarthy posted a photo to Instagram in which she was wearing a tiered, sea-foam-green gown at a gala she had attended alongside the director Adam Shankman. Though the photo itself didn’t cause much of a stir, one comment — which happened to be from the entertainer Barbra Streisand — did. It read, in part, “Did you take Ozempic?”Screenshots of the comment began circulating soon after, with many viewers criticizing Ms. Streisand for inquiring publicly whether another celebrity was taking a weight-loss medication. (Others wondered if Ms. Streisand realized the comment had been posted where others could see it.) The comment has since been deleted.On Tuesday afternoon, Ms. Streisand addressed the pushback. She had gone on Instagram to see photos of flowers she had received for her birthday, she wrote in a post on her Instagram and X accounts. “Below them was a photo of my friend Melissa McCarthy who I sang with on my Encore album,” Ms. Streisand wrote. “She looked fantastic! I just wanted to pay her a compliment. I forgot the world is reading!”Ozempic is part of a relatively new class of medications, used in treating diabetes and obesity, that have surged in popularity in recent years. While it is approved by the Food and Drug Administration only for diabetes, people have increasingly been using Ozempic off-label to lose weight. Researchers are investigating whether these medications can treat a range of other conditions, including sleep apnea, alcohol use disorder and chronic kidney disease.ImageMelissa McCarthy with the director Adam Shankman at a theater group’s gala on Sunday.Credit...Alberto E. Rodriguez/Getty ImagesAs the drugs have grown in popularity, so has the stress around social etiquette and whether it is proper to ask your thinner-seeming friends if they are using them. For celebrities, the questions are even more fraught. Some stars have made an event out of revealing they take medication — perhaps none more notably than Oprah Winfrey, who announced in People magazine that she was taking a weight loss drug and “done with the shaming.” She later hosted a prime-time special devoted to weight stigma and the new medications. Elon Musk was one of the earliest proponents, writing on Twitter in 2022 after being asked how he had become so “fit, ripped & healthy” that he was taking another drug, Wegovy.",By Callie Holtermann and Dani Blum,2024-04-30 20:16:54-04:00,style,https://www.nytimes.com/2024/04/30/style/ozempic-barbra-streisand-melissa-mccarthy.html,The New York Times
41,Justice Dept. Recommends Easing Restrictions on Marijuana,"The Justice Department said on Tuesday that it had recommended easing restrictions on marijuana in what could amount to a major change in federal policy.Even though the move, which kicks off a lengthy rule-making process, does not end the criminalization of the drug, it is a significant shift in how the government views the safety and use of marijuana for medical purposes. It also reflects the Biden administration’s effort to liberalize marijuana policy in a way that puts it more in line with the public as increasingly more Americans favor legalizing the drug.The decision comes at an opportune time for President Biden, who is trailing the presumptive Republican nominee, former President Donald J. Trump, as they approach the November election, according to a recent CNN poll.It could also lead to the softening of other laws and regulations that account for the use or possession of cannabis, including sentencing guidelines, banking and access to public housing.People familiar with the recommendation, speaking on the condition of anonymity, said Attorney General Merrick B. Garland planned to tell the White House Office of Management and Budget that the government should change the drug’s categorization. After the office assesses the recommendation, it will still face a long road before taking effect, including being subject to public comment.The Associated Press earlier reported the Justice Department decision.For more than half a century, marijuana has been considered a Schedule I drug, classified on the same level as highly addictive substances like heroin that the Drug Enforcement Administration describes as having no currently accepted medical use. Moving marijuana to Schedule III, as the Department of Health and Human Services recommended in August, would put it alongside less addictive substances like Tylenol with codeine, ketamine and testosterone, meaning that it would be subject to fewer restrictions on production and research, and that eventually it could be prescribed by a doctor.","By Eileen Sullivan, Glenn Thrush and Zolan Kanno-Youngs",2024-04-30 15:01:56-04:00,us,https://www.nytimes.com/2024/04/30/us/politics/justice-department-reclassify-marijuana.html,The New York Times
42,Walmart Is Shutting Health Centers After Plan to Expand,"Walmart, the world’s largest retailer, said Tuesday that it was shutting down its health care centers, a network that only last year it said it planned to expand.The retailer said in a blog post that its 51 health centers across five states would close. The centers were next to Supercenter locations. The plans won’t affect the more than 4,600 pharmacies and more than 3,000 vision centers within Walmart stores.Walmart started the health clinic initiative in 2019 in Dallas, Ga., with centers providing primary care, labs, X-rays and electrocardiograms, counseling, and dental, optical and hearing services. Many were in smaller towns where customers might lack access to quality care, and the company had said it was focused on affordability. In 2021, Walmart started offering a virtual option when it acquired MeMD, a telehealth provider.“This is a difficult decision, and like others, the challenging reimbursement environment and escalating operating costs create a lack of profitability that make the care business unsustainable for us at this time,” the company said Tuesday.Walmart said it was still deciding when it would close each center. In addition to Georgia, centers are in Arkansas, Florida, Illinois and Texas. Workers within the centers will be paid for 90 days and will be eligible to transfer to other Walmart or Sam’s Club locations, the company said.Offering health care is more difficult than selling consumer goods like laundry detergent and car parts, said David Silverman, a retail analyst at Fitch Ratings, noting the layers of government and insurance providers involved.“The attempts to enter these spaces and some of the failures of doing so really underscore the challenges and complexities of operating in the U.S. health care space,” Mr. Silverman said.In March 2023, Walmart said it planned to double its health center locations. It said that by the end of 2024, it expected to have more than 75 Walmart Health Centers and expand to states like Missouri and Arizona.In 2021, Amazon, Berkshire Hathaway and JPMorgan Chase ended their high-profile joint health care venture, which sought to explore new ways to deliver health care to their employees. In March, Walgreens said it had closed 140 of its VillageMD clinics and planned to close 20 more.Jordyn Holman is a business reporter for The Times, covering the retail industry and consumer behavior. More about Jordyn HolmanA version of this article appears in print on  , Section B, Page 3 of the New York edition with the headline: Walmart Is Shutting Down Health Centers in 5 States. Order Reprints | Today’s Paper | SubscribeShare full articleAdvertisementSKIP ADVERTISEMENTSite IndexSite Information Navigation© 2024 The New York Times CompanyNYTCoContact UsAccessibilityWork with usAdvertiseT Brand StudioYour Ad ChoicesPrivacy PolicyTerms of ServiceTerms of SaleSite MapCanadaInternationalHelpSubscriptionsManage Privacy Preferences















",By Jordyn Holman,2024-04-30 10:20:50-04:00,business,https://www.nytimes.com/2024/04/30/business/walmart-health-centers.html,The New York Times
43,An Intimate Look at Modern Love and Marriage,"Times Insider explains who we are and what we do and delivers behind-the-scenes insights into how our journalism comes together.When Amanda Montei began reporting an article last year about married couples who had little to no sex, she didn’t know how forthcoming people would be about their sex lives.But to her surprise, many of the couples were willing — grateful, even — to talk about it.“It was almost like a pressure valve was released,” Ms. Montei said of her conversations with more than 30 married people who are among the 50 percent of American adults having sex once a month or less. “Most couples I talked with said speaking to me felt like a relief because they were able to talk openly about their sexual lives without judgment.”The article, which was published this month in the Modern Love issue of The New York Times Magazine, is based on phone and video conversations with couples in seven states, as well as Canada, Britain and Italy, and took Ms. Montei five months to report.“My main takeaway was that there are so many factors that influence a person’s desire,” she said. “It’s a really complicated negotiation with the self and the body and our current cultural moment.”In a phone conversation from her home in the San Francisco Bay Area, Ms. Montei discussed how she helped sources feel comfortable sharing intimate details of their private lives and what questions she hopes to tackle next in her reporting. These are edited excerpts.How did you come up with the idea for this article?I published a book last fall about motherhood and sexuality and received lots of notes from readers who connected with it and saw themselves represented in it, and who found that motherhood impacted the way they viewed their bodies, sexual lives and relationships. Writing and publishing the book made me more curious about women’s sexual lives, especially how desires can change with age and parenthood; what marriage has tended to demand of women; and how people in long-term heterosexual relationships navigate those changes today.",By Sarah Bahr,2024-04-30 03:00:22-04:00,insider,https://www.nytimes.com/2024/04/30/insider/sexless-marriage.html,The New York Times
44,Philips Settles CPAP Breathing Device Lawsuits for $1.1 Billion,"Philips Respironics has reached a $1.1 billion settlement over claims that people who used their CPAP and other breathing devices were harmed by noxious gasses and flecks of foam that lodged in their airways, sometimes for years.Thousands of people contended in lawsuits that they had been injured by popular Philips DreamStation machines. The settlement affects CPAP, or continuous positive airway pressure, machines that people with sleep apnea or other respiratory difficulties use at night to improve their breathing, as well as other types of machines used at home and in hospitals.Philips did not admit any fault in the settlement, including whether the devices caused the injuries, according to a financial report issued Monday.The personal injury settlement follows a $479 million settlement reached in September over economic losses to the patients and medical equipment sales companies that financed replacement devices. Philips also agreed to a consent decree earlier this year that forced the company to halt U.S. sales of new devices until certain conditions are met.Monday’s agreement largely settles years of litigation over a problem that was deeply upsetting to patients and doctors, who had to weigh the risk of letting patients’ interrupted breathing go untreated against the use of a machine that might cause harm. Patients flooded lawmakers and the Food and Drug Administration with complaints about a chaotic recall and replacement effort that left many waiting for months or more than a year for an updated device.In a letter to Philips in May 2022, the F.D.A. noted that the company had received reports about the problem as early as 2015, but failed to evaluate the information and address the device’s problems.The recall started in the summer of 2021 amid concerns that the machines blew out potentially cancer-causing gases. The initial recall affected about 15 million breathing machines produced since 2006, though roughly five million were still in circulation in mid-2021.The F.D.A. reported earlier this year that since Philips first warned of the problems, officials had received 116,000 complaints, including 561 reports of deaths, that people or lawyers said were linked to the faulty foam in the device.The company has since tempered its warnings, saying that further testing showed that the gasses were not as toxic as initially believed.Investors recognized the resolution, as the company stock surged by about 33 percent Monday morning, to about $28 per share. The company said that part of the settlement would be covered by insurance.Plaintiffs’ lawyers welcomed the settlement.“Ultimately, these combined agreements accomplish what we sought to achieve when this litigation began — holding Philips accountable by obtaining care for those with physical injuries and compensation for those needing new respiratory devices,” Sandra L. Duggan, Kelly K. Iverson and Christopher A. Seeger, lawyers representing the plaintiffs, said in a statement.Christina Jewett covers the Food and Drug Administration, which means keeping a close eye on drugs, medical devices, food safety and tobacco policy. More about Christina JewettA version of this article appears in print on  , Section B, Page 5 of the New York edition with the headline: Philips Settles CPAP Breathing Device Lawsuits for $1.1 Billion, Claiming No Fault. Order Reprints | Today’s Paper | Subscribe31Share full article31AdvertisementSKIP ADVERTISEMENTSite IndexSite Information Navigation© 2024 The New York Times CompanyNYTCoContact UsAccessibilityWork with usAdvertiseT Brand StudioYour Ad ChoicesPrivacy PolicyTerms of ServiceTerms of SaleSite MapCanadaInternationalHelpSubscriptionsManage Privacy Preferences















",By Christina Jewett,2024-04-29 11:44:32-04:00,health,https://www.nytimes.com/2024/04/29/health/cpap-breathing-devices-philips-settlement.html,The New York Times
45,How Supplement Stores Are Trying to Tap Into the Ozempic Boom,"As diabetes and weight-loss drugs like Ozempic and Wegovy took off in the last few years, many people turned away from established diet and nutrition products.Now, two retailers that specialize in nutritional supplements — GNC and the Vitamin Shoppe — are trying new approaches to win over people who are taking those drugs or who are interested in them.GNC is dedicating a wall of supplements in its more than 2,300 stores to products that it believes will appeal to people on Ozempic, which contains the compound semaglutide, and other drugs that are known as GLP-1 medicines. The chain is also training workers to help customers assess which substances could help them manage common side effects of those prescription drugs.Michael Costello, chief executive of GNC, said his company saw a “big opening” in helping individuals taking such drugs for weight loss.“As we were looking at the trends with folks, where people are going, Ozempic and obviously Wegovy and other GLP-1s started blowing up,” Mr. Costello said in an interview. “We saw there were significant side effects for a lot of those drugs.”It’s not clear exactly how many Americans are taking Ozempic and similar drugs for weight loss, but Mr. Costello referred to a study from Goldman Sachs that estimates up to 70 million Americans will have tried the medicines by 2028.",By Jordyn Holman,2024-04-29 05:02:49-04:00,business,https://www.nytimes.com/2024/04/29/business/ozempic-wegovy-gnc-vitamin-shoppe.html,The New York Times
46,U.S. Lags Behind Other Countries in Hepatitis-C Treatment,"In the 10 years since the drugmaker Gilead debuted a revolutionary treatment for hepatitis C, a wave of new therapies have been used to cure millions of people around the world of the blood-borne virus.Today, 15 countries, including Egypt, Canada and Australia, are on track to eliminate hepatitis C during this decade, according to the Center for Disease Analysis Foundation, a nonprofit. Each has pursued a dogged national screening and treatment campaign.But the arsenal of drugs, which have generated tens of billions of dollars for pharmaceutical companies, has not brought the United States any closer to eradicating the disease.Spread through the blood including IV drug use, hepatitis C causes liver inflammation, though people may not display symptoms for years. Only a fraction of Americans with the virus are aware of the infection, even as many develop the fatal disease.A course of medications lasting eight to 12 weeks is straightforward. But the most at-risk, including those who are incarcerated, uninsured or homeless, have difficulty navigating the American health system to get treatment.Of those diagnosed in the United States since 2013, just 34 percent have been cured, according to a recent analysis by the Centers for Disease Control and Prevention.",By Ted Alcorn,2024-04-28 05:00:51-04:00,health,https://www.nytimes.com/2024/04/28/health/hepatitis-c.html,The New York Times
47,Federal Officials Find No Live Bird Flu Virus in Initial Milk Tests,"Federal regulators on Friday said that they had not yet discovered live bird flu virus in the first batch of retail milk samples they tested, a reassuring indication that the milk on store shelves remains safe despite an outbreak of the virus among dairy cows.In an online update, the Food and Drug Administration said an initial set of tests looking for live virus, not just genetic fragments, suggested that the pasteurization process was effectively neutralizing the pathogen.“These results reaffirm our assessment that the commercial milk supply is safe,” the F.D.A. wrote in the update, adding that the testing efforts were ongoing.Officials also tested infant and toddler formula, which incorporate powdered dairy, and did not find the virus, the agency wrote.The F.D.A. embarked on a national survey of milk samples shortly after an outbreak of the bird flu virus, called H5N1, was discovered among dairy cows. Government scientists have been testing 297 samples of retail dairy products from 38 states, a swath of the country that covers regions far beyond the nine states known to have infected herds.The first type of testing regulators conducted, a form of polymerase chain reaction, or PCR, is relatively speedy, but it picks up only genetic traces of the virus and does not tell researchers whether the live pathogen is present.",By Noah Weiland and Benjamin Mueller,2024-04-26 19:11:49-04:00,health,https://www.nytimes.com/2024/04/26/health/bird-flu-milk-fda.html,The New York Times
48,Biden Delays Ban on Menthol Cigarettes,"The Biden administration said on Friday that it was delaying a decision on whether to ban menthol cigarettes, effectively quashing a proposal that has divided Black American voters and fueled million-dollar lobbying campaigns from the tobacco industry in this presidential election year.The White House has faced considerable resistance from the cigarette companies that would lose billions of dollars if they could no longer sell menthol cigarettes. Opponents took to the airwaves to warn of a spike in cartel traffic along the border from counterfeit cigarette smuggling and of police violence targeting Black residents if a ban were in force.Those efforts posed risks for President Biden, whose support among Black voters has at times slipped in recent months.Some of Mr. Biden’s top health officials have said that a ban would save lives and protect against lung cancer, which is a higher risk for Black smokers, who have historically favored menthol cigarettes and are heavily targeted by tobacco companies.“This rule has garnered historic attention, and the public comment period has yielded an immense amount of feedback, including from various elements of the civil rights and criminal justice movement,” Xavier Becerra, the health and human services secretary, said in a statement. “It’s clear that there are still more conversations to have, and that will take significantly more time.”The decision highlighted a debate among senior federal officials over how to weigh the political and legal consequences of a ban against public health.",By Christina Jewett and Noah Weiland,2024-04-26 14:42:06-04:00,health,https://www.nytimes.com/2024/04/26/health/menthol-cigarettes-ban-biden-fda.html,The New York Times
49,At Least Three Women Were Infected With H.I.V. After ‘Vampire Facials’,"At least three women were infected with H.I.V. during cosmetic “vampire facial” procedures at an unlicensed spa in Albuquerque, federal officials said Thursday. It is the first time that H.I.V. transmission through cosmetic injection services has been documented, they said.The three were among a cluster of five people sharing highly similar H.I.V. strains, four of whom had undergone a procedure called platelet-rich plasma microneedling at the spa. The fifth individual, a man, had a sexual relationship with one of the women.Investigators still do not know the precise source of the contamination. A 2018 H.I.V. diagnosis in a patron who reported having no behavioral risk factors led to a public health investigation when the woman said she had received a cosmetic treatment involving needles, called a platelet-rich plasma microneedling facial.An inspection of the spa found unlabeled tubes of blood lying on a kitchen counter, others stored along with food in a refrigerator, and unwrapped syringes in drawers and trash cans.The facility also appeared to be reusing disposable equipment intended for single use only, according to a report from the Centers for Disease Control and Prevention.The report comes on the heels of an announcement by health officials earlier this month that they are investigating a string of illnesses tied to counterfeit or improperly injected Botox containing high amounts of the botulinum toxin, which is used in small doses to smooth wrinkles.",By Roni Caryn Rabin,2024-04-26 09:44:33-04:00,health,https://www.nytimes.com/2024/04/26/health/hiv-vampire-facial.html,The New York Times
50,Beth Linker Is Turning Good Posture on Its Head,"For decades, the idea of standing properly upright carried considerable political and social baggage. Slouching was considered a sign of decay.In the early 20th century, posture exams became mainstays in the military, the workplace and schools, thanks in part to the American Posture League, a group of physicians, educators and health officials that formed in 1914. In 1917, a study found that roughly 80 percent of Harvard’s freshman class had poor posture. Industrialists piled on with posture-enhancing chairs, products and gadgets.But the actual science doesn’t support the conventional wisdom about proper posture, Beth Linker argues in her new book, “Slouch: Posture Panic in Modern America.” Dr. Linker, a historian and sociologist of science at the University of Pennsylvania, recently sat for an interview with The New York Times; the conversation has been condensed and edited for clarity.Nice to meet you.Your posture looks pretty good. And it doesn’t matter — that’s the whole point of my book. It’s fake news.Our obsession with great posture is fake news? I’m off the hook!Concern for posture, as a matter of etiquette, has been around since the Enlightenment, if not earlier, but poor posture did not become a scientific and medical obsession until after the publication of Darwin’s “On the Origin of Species” in 1859. He posited that humans evolved through natural selection, and that the first thing to develop was bipedalism; in other words, standing upright preceded brain development.This idea was controversial because convention taught that higher intellect distinguished humans from nonhuman animals, and now it appeared that only a mere physical difference, located in the spine and feet, separated humankind from the apes.",By Matt Richtel,2024-04-26 05:01:35-04:00,science,https://www.nytimes.com/2024/04/26/science/linker-posture-science.html,The New York Times
51,One in Five Milk Samples Nationwide Shows Genetic Traces of Bird Flu,"Federal regulators have discovered fragments of bird flu virus in roughly 20 percent of retail milk samples tested in a nationally representative study, the Food and Drug Administration said in an online update on Thursday.Samples from parts of the country that are known to have dairy herds infected with the virus were more likely to test positive, the agency said. Regulators said that there is no evidence that this milk poses a danger to consumers or that live virus is present in the milk on store shelves, an assessment public health experts have agreed with.But finding traces of the virus in such a high share of samples from around the country is the strongest signal yet that the bird flu outbreak in dairy cows is more extensive than the official tally of 33 infected herds across eight states.“It suggests that there is a whole lot of this virus out there,” said Richard Webby, a virologist and influenza expert at St. Jude Children’s Research Hospital.Dr. Webby said that he believed it was still possible to eradicate the virus, which is known as H5N1, from the nation’s dairy farms. But it will be difficult to design effective control measures without knowing the scope of the outbreak, he said.The findings also raise questions about how the virus has evaded detection and where else it might be silently spreading. Some scientists have criticized the federal testing strategy as too limited to reveal the true extent of viral spread.",By Emily Anthes and Noah Weiland,2024-04-25 18:54:02-04:00,health,https://www.nytimes.com/2024/04/25/health/bird-flu-milk-fda.html,The New York Times
52,"Penny Simkin, ‘Mother of the Doula Movement,’ Dies at 85","Penny Simkin, a childbirth educator and author who was often described as the “mother of the doula movement,” died on April 11 at her home in Seattle. She was 85.The cause was pancreatic cancer, said her daughter, Linny Simkin.Ms. Simkin, a physical therapist turned birth educator, was a pioneer in helping women have a better experience during and after birth. Doula is the Greek word for “female servant,” and it was embraced by alternative birth professionals several decades ago to refer to someone who supports mothers during labor. In books, workshops and training organizations, Ms. Simkin helped popularize that role and worked as a doula herself.Doulas are not medical professionals; their role is to provide comfort to women in the delivery room as well as postpartum care at home. That care might include snacks, massages or warm compresses but also more substantive assistance, like suggesting movements to ease labor pains or help with breastfeeding.Ms. Simkin’s innovations included a device called the squatting bar, which is attached to a hospital bed for the mother to hang onto and squat, a position that opens the pelvis and allows gravity to help with the baby’s delivery.Her work came out of the natural childbirth movement of the 1970s, when alternatives to the standard hospital birth were being explored. But she was agnostic about home versus hospital deliveries and about pain-relieving measures. Her focus, always, was on the mother.Ms. Simkin surveyed thousands of women about their birth experiences, to better train doulas in preparing women for childbirth. “How will she remember this?” she exhorted her students.",By Penelope Green,2024-04-25 17:44:45-04:00,health,https://www.nytimes.com/2024/04/25/health/penny-simkin-dead.html,The New York Times
53,What You Really Need to Know About Antidepressants,"Antidepressants are among the most prescribed medications in the United States. This is, in part, because the number of people diagnosed with depression and anxiety has been on the rise, and prescriptions jumped sharply among some age groups during the pandemic.Despite the prevalence of these medications, some patients have “significant misconceptions” about how the drugs work, said Dr. Andrew J. Gerber, a psychiatrist and the president and medical director of Silver Hill Hospital in New Canaan, Conn.About 80 percent of antidepressants are prescribed by primary care doctors who have not had extensive training in managing mental illness.Dr. Paul Nestadt, an associate professor of psychiatry at the Johns Hopkins School of Medicine, said patients tell him, “‘You know, Doc, I’ve tried everything.’” But often, he said, “they never got to a good dose, or they were only on it for a week or two.”Here are some answers to frequently asked questions about antidepressants.How do antidepressants work?There are many types of antidepressants, and they all work a bit differently.In general, they initiate a change in the way brain cells — and different regions of the brain — communicate with one another, said Dr. Gerard Sanacora, a professor of psychiatry at the Yale School of Medicine.",By Christina Caron,2024-04-25 05:03:29-04:00,well,https://www.nytimes.com/2024/04/25/well/mind/antidepressants-side-effects-anxiety-stress.html,The New York Times
54,F.D.A. Approves Antibiotic for Increasingly Hard-to-Treat Urinary Tract Infections,"The Food and Drug Administration on Wednesday approved the sale of an antibiotic for the treatment of urinary tract infections in women, giving U.S. health providers a powerful new tool to combat a common infection that is increasingly unresponsive to the existing suite of antimicrobial drugs.The drug, pivmecillinam, has been used in Europe for more than 40 years, where it is often a first-line therapy for women with uncomplicated U.T.I.’s, meaning the infection is confined to the bladder and has not reached the kidneys. The drug will be marketed in the U.S. as Pivya and will be made available by prescription to women 18 and older.It is the first time in two decades that the F.D.A. has approved a new antibiotic for U.T.I.s, which annually affect 30 million Americans. U.T.I.s are responsible for the single-greatest use of antibiotics outside a hospital setting.“Uncomplicated U.T.I.s are a very common condition impacting women and one of the most frequent reasons for antibiotic use,” Dr. Peter Kim, director of the Division of Anti-Infectives at the F.D.A.’s Center for Drug Evaluation and Research, said in a statement. “The F.D.A. is committed to fostering new antibiotic availability when they prove to be safe and effective.”Utility Therapeutics, the U.S. company that acquired the rights to pivmecillinam, said it would be available in 2025. The company is also seeking F.D.A. approval for an intravenous version of the drug that is used for more serious infections and is usually administered in a hospital setting.Health practitioners said they were elated to have another tool in their arsenal given the growing challenge of antimicrobial resistance, which makes existing medications less effective as pathogens mutate in ways that allow them to survive a course of antibiotics.",By Andrew Jacobs,2024-04-24 16:27:42-04:00,health,https://www.nytimes.com/2024/04/24/health/fda-urinary-tract-infection-antibiotic.html,The New York Times
55,5 Takeaways From the Supreme Court Arguments on Idaho’s Abortion Ban,"The abortion case before the Supreme Court on Wednesday featured vigorous questioning and comments, particularly by the three liberal justices. At issue is whether Idaho’s near-total ban on abortion is so strict that it violates a federal law requiring emergency care for any patient, including providing abortions for pregnant women in dire situations.A ruling could reverberate beyond Idaho, to at least half a dozen other states that have similarly restrictive bans.The implications of the case could also extend beyond abortion, including whether states can legally restrict other types of emergency medical care and whether the federal law opens the door for claims of fetal personhood.Here are some takeaways:The case centers on whether Idaho’s abortion ban violates federal law.Idaho’s ban allows abortion to save the life of a pregnant woman, but not to prevent her health from deteriorating. The federal government says it therefore violates the Emergency Medical Treatment and Labor Act, or EMTALA, which was enacted nearly 40 years ago.EMTALA says that when a patient goes to an emergency room with an urgent medical issue, hospitals must either provide treatment to stabilize the patient or transfer the patient to a medical facility that can, regardless of the patient’s ability to pay. It says that if a state law conflicts with the federal law, the federal law takes precedence.A lawyer representing Idaho, Joshua Turner, told the Supreme Court that the state does not believe its abortion ban conflicts with the federal law. He said the ban allows emergency departments to provide abortions if a pregnant woman has a medical problem that is likely to lead to her death, not just if she is facing imminent death.",By Pam Belluck,2024-04-24 15:19:54-04:00,us,https://www.nytimes.com/2024/04/24/us/politics/supreme-court-idaho-abortion-law.html,The New York Times
56,Dairy Cows Transported Between States Must Now Be Tested for Bird Flu,"The Biden administration on Wednesday said that it would begin requiring dairy cows moving across state lines to be tested for bird flu, which has been spreading in herds for months. The new policy is part of a growing effort to stamp out the spread of a virus that federal health officials have sought to reassure Americans poses little risk to people so far.The new order, issued by the Department of Agriculture, says that lactating cows must test negative for influenza A viruses, a class that includes bird flu, before they are transported. The owners of herds with positive tests will need to provide data on the movements of the cattle to help investigators trace the disease.The testing will help protect the livestock industry, limit the spread of the virus and “better understand this disease,” Mike Watson, a senior Department of Agriculture official, told reporters in a press briefing Wednesday morning.Since a highly contagious form of bird flu was detected in the United States in 2022, federal officials have sought to reassure Americans that the threat to the public remained low, even as the virus infected a growing number of mammals. Federal regulators on Tuesday announced that inactive viral fragments had been found in pasteurized milk, a suggestion that the virus was likely spreading much more widely among cattle than previously known.Dr. Nirav Shah, the principal deputy director of the Centers for Disease Control and Prevention, told reporters on Wednesday that there were no changes in the genetic makeup of the virus that would allow it to spread easily among people. So far, Dr. Shah said, states have been monitoring 44 people who were exposed to the virus and are being monitored for infection.As of Wednesday, the outbreak had spread to 33 herds in eight states, according to the U.S.D.A. But just one human infection has been reported, in a dairy worker in Texas who had direct contact with sick cows. The case was mild.","By Noah Weiland, Benjamin Mueller and Emily Anthes",2024-04-24 14:14:45-04:00,health,https://www.nytimes.com/2024/04/24/health/bird-flu-dairy-cows-testing-usda.html,The New York Times
57,Grandmother Becomes Second Patient to Receive Kidney From Gene-Edited Pig,"A severely ill 54-year-old woman earlier this month became the second person to receive a kidney transplanted from a genetically modified pig, surgeons at NYU Langone Health in New York announced on Wednesday.The patient, who had both heart failure and kidney failure, was given the organ on April 12, just eight days after receiving a mechanical heart pump. Surgical teams at NYU Langone carried out the two procedures over the course of nine days.The kidney recipient, Lisa Pisano, a native of New Jersey, was at risk of dying without the heart pump, a medical device used in patients who need a heart transplant.The kidney came from a genetically engineered pig provided by United Therapeutics Corporation, a biotech company. The pig carried a gene for producing a sugar called alpha-gal that had been “knocked out,” or blocked.NYU Langone Health studies have shown that removing the gene reduces the risk of a severe immune reaction in a patient, which can lead to the immediate rejection of an organ transplanted from an animal, a process called xenotransplantation.The NYU Langone surgeons also placed the pig’s thymus gland, which can reprogram the patient’s immune system so it doesn’t reject the pig’s organ, under the transplanted kidney in order to reduce the likelihood of rejection.",By Roni Caryn Rabin,2024-04-24 13:32:00-04:00,health,https://www.nytimes.com/2024/04/24/health/kidney-transplant-pig.html,The New York Times
